#Recorded data from Servotor32
#datetime: 07-09-2020_19h-06m-48s
#filename: tripod_x_b_sensors_open_vertical_floor_unloaded_07-09-2020_19h-06m-48s.csv
#
#------------------------------------------------------
#Settings:
#
#Gait: tripod
#Feedback config: open
#Sensors: vertical
#Sensors cut: True
#
#------------------------------------------------------
#Parameters:
#
#g=1.70
#y_bar=0.40
#a=5.00
#tau_x=0.13
#tau_b=0.20
#Y_max=0.95
#sensor_start=5
#dt=105ms
#direction=1.00
#ics_tau=0.10
#
#------------------------------------------------------
#Recording info:
#
#Ground: floor
#Extra load: unloaded
#Calibration: in air
#Surface: rubber
#Recorded datatype: int
#
#-calibration: for gait specific motor limits due to weight force
#-sensor_start: number of loops when feedback loop closes
#-sensor_start ensures starting stability for closed loop
#-because motors are in stance position at the start
#
#------------------------------------------------------
#Leg numbering:
#
#0: front left
#1: middle left
#2: back left
#3: back right
#4: middle right
#5: front right
#
#------------------------------------------------------
#Recorded variables:
#
#n: step count
#t: total time
#dt: step time
#delay: waiting time for calculation time to reach step time dt
#
#x_i: neural membrane
#b_v_i: neural bias (vertical)
#sensor_i: normalized sensor values
#
#------------------------------------------------------
#Calculated variables from recorded data:
#
#fb_i: membrane feedback unscaled
#y_v_i: neural activation (vertical)
#b_v_avg_i: neural bias average value (vertical)
#b_v_min: minimal neural bias value of current period
#b_v_max: maximal neural bias value of current period
#y_h_i: neural activation (horizontal)
#b_v_sens_h_i: vertical neural bias (via horizontal sensors)
#
#------------------------------------------------------
#File info:
#
##out marks the columns recorded on Servotor32
#Initial conditions in first row at n=-1
#
#------------------------------------------------------
#Data:#
#number,#out0, #out1, #out2, #out3, #out4, #out5, #out6, #out7, #out8, #out9, #out10, #out11, #out12, #out13, #out14, #out15, #out16, #out17, #out18, #out19, #out20, #out21
,n,t,dt,delay,x_0,x_1,x_2,x_3,x_4,x_5,b_v_0,b_v_1,b_v_2,b_v_3,b_v_4,b_v_5,sensor_0,sensor_1,sensor_2,sensor_3,sensor_4,sensor_5,sensor_cut_0,sensor_cut_1,sensor_cut_2,sensor_cut_3,sensor_cut_4,sensor_cut_5,fb_0,fb_1,fb_2,fb_3,fb_4,fb_5,y_v_0,y_v_1,y_v_2,y_v_3,y_v_4,y_v_5,b_v_avg_0,b_v_avg_1,b_v_avg_2,b_v_avg_3,b_v_avg_4,b_v_avg_5,b_v_min_0,b_v_min_1,b_v_min_2,b_v_min_3,b_v_min_4,b_v_min_5,b_v_max_0,b_v_max_1,b_v_max_2,b_v_max_3,b_v_max_4,b_v_max_5,y_h_0,y_h_1,y_h_2,y_h_3,y_h_4,y_h_5,b_v_sens_h_0,b_v_sens_h_1,b_v_sens_h_2,b_v_sens_h_3,b_v_sens_h_4,b_v_sens_h_5,a_h_0,a_h_1,a_h_2,a_h_3,a_h_4,a_h_5
0,-1,-0.1,0.0,0.0,5.1,-5.1,5.1,-5.1,5.1,-5.1,4.8,0.2,4.8,0.2,4.8,0.2,-0.022,-0.012,-0.024,-0.006,-0.017,0.046,0.0,0.0,0.0,0.0,0.0,0.046,0.818,-0.818,1.635,-1.635,2.453,-2.453,0.818,0.0,0.818,0.0,0.818,0.0,2.55,2.55,2.55,2.55,2.55,2.55,0.0,0.0,0.0,0.0,0.0,0.0,5.1,5.1,5.1,5.1,5.1,5.1,0.931,0.062,0.931,0.062,0.931,0.062,4.8,0.2,4.8,0.2,4.8,0.2,1.155,1.155,1.155,1.155,1.155,1.155
1,0,0.0,0.105,0.0,4.349,-4.349,4.349,-4.349,4.349,-4.349,4.64,-0.01,4.64,-0.01,4.64,-0.01,-0.016,-0.012,-0.024,-0.006,-0.012,0.006,0.0,0.0,0.0,0.0,0.0,0.006,2.453,-2.453,2.453,-2.453,2.453,-2.453,0.095,0.0,0.095,0.0,0.095,0.0,2.55,2.545,2.55,2.545,2.55,2.545,0.0,-0.01,0.0,-0.01,0.0,-0.01,5.1,5.1,5.1,5.1,5.1,5.1,0.918,0.05,0.918,0.05,0.918,0.05,4.8,0.2,4.8,0.2,4.8,0.2,1.155,1.152,1.155,1.152,1.155,1.152
2,1,0.105,0.105,0.006,1.226,-1.226,1.226,-1.226,1.226,-1.226,4.43,-0.219,4.43,-0.219,4.43,-0.219,-0.016,-0.012,-0.024,-0.018,-0.017,0.006,0.0,0.0,0.0,0.0,0.0,0.006,0.285,-0.285,0.285,-0.285,0.285,-0.285,0.0,0.002,0.0,0.002,0.0,0.002,2.32,2.44,2.32,2.44,2.32,2.44,0.0,-0.219,0.0,-0.219,0.0,-0.219,4.64,5.1,4.64,5.1,4.64,5.1,0.936,0.05,0.936,0.05,0.936,0.05,4.8,0.2,4.8,0.2,4.8,0.2,1.269,1.107,1.269,1.107,1.269,1.107
3,2,0.213,0.105,0.005,0.226,-0.226,0.226,-0.226,0.226,-0.226,4.22,-0.171,4.22,-0.171,4.22,-0.171,0.005,0.006,-0.006,-0.012,0.023,0.0,0.005,0.006,0.0,0.0,0.023,0.0,-0.007,0.007,-0.007,0.007,-0.007,0.007,0.0,0.491,0.0,0.491,0.0,0.491,2.32,2.44,2.32,2.44,2.32,2.44,0.0,-0.219,0.0,-0.219,0.0,-0.219,4.64,5.1,4.64,5.1,4.64,5.1,0.918,0.053,0.918,0.053,0.918,0.053,4.8,0.2,4.8,0.2,4.8,0.2,1.269,1.107,1.269,1.107,1.269,1.107
4,3,0.32,0.105,0.014,-1.977,1.977,-1.977,1.977,-1.977,1.977,4.01,0.144,4.01,0.144,4.01,0.144,-0.011,0.006,0.0,-0.006,-0.017,0.029,0.0,0.006,0.0,0.0,0.0,0.029,-1.474,1.474,-1.474,1.474,-1.474,1.474,0.0,1.0,0.0,1.0,0.0,1.0,2.32,2.44,2.32,2.44,2.32,2.44,0.0,-0.219,0.0,-0.219,0.0,-0.219,4.64,5.1,4.64,5.1,4.64,5.1,0.895,0.073,0.895,0.073,0.895,0.073,4.8,0.2,4.8,0.2,4.8,0.2,1.269,1.107,1.269,1.107,1.269,1.107
5,4,0.425,0.105,0.007,-4.499,4.499,-4.499,4.499,-4.499,4.499,3.8,0.459,3.8,0.459,3.8,0.459,-0.005,0.054,0.012,0.101,0.0,0.08,0.0,0.054,0.012,0.101,0.0,0.08,-3.0,3.0,-3.0,3.0,-3.0,3.0,0.0,1.0,0.0,1.0,0.0,1.0,2.32,2.44,2.32,2.44,2.32,2.44,0.0,-0.219,0.0,-0.219,0.0,-0.219,4.64,5.1,4.64,5.1,4.64,5.1,0.867,0.1,0.867,0.1,0.867,0.1,4.8,0.2,4.8,0.2,4.8,0.2,1.269,1.107,1.269,1.107,1.269,1.107
6,5,0.533,0.106,0.005,-4.989,4.989,-4.989,4.989,-4.989,4.989,3.588,0.777,3.588,0.777,3.588,0.777,0.011,0.599,0.018,0.544,0.0,0.577,0.011,0.599,0.018,0.544,0.0,0.577,-3.0,3.0,-3.0,3.0,-3.0,3.0,0.0,1.0,0.0,1.0,0.0,1.0,2.32,2.44,2.32,2.44,2.32,2.44,0.0,-0.219,0.0,-0.219,0.0,-0.219,4.64,5.1,4.64,5.1,4.64,5.1,0.833,0.137,0.833,0.137,0.833,0.137,4.8,0.2,4.8,0.2,4.8,0.2,1.269,1.107,1.269,1.107,1.269,1.107
7,6,0.64,0.105,0.015,-5.079,5.079,-5.079,5.079,-5.079,5.079,3.378,1.092,3.378,1.092,3.378,1.092,0.005,0.958,0.018,0.911,-0.006,0.931,0.005,0.958,0.018,0.911,0.0,0.931,-3.0,3.0,-3.0,3.0,-3.0,3.0,0.0,1.0,0.0,1.0,0.0,1.0,2.32,2.44,2.32,2.44,2.32,2.44,0.0,-0.219,0.0,-0.219,0.0,-0.219,4.64,5.1,4.64,5.1,4.64,5.1,0.793,0.183,0.793,0.183,0.793,0.183,4.8,0.2,4.8,0.2,4.8,0.2,1.269,1.107,1.269,1.107,1.269,1.107
8,7,0.745,0.105,0.009,-5.096,5.096,-5.096,5.096,-5.096,5.096,3.168,1.407,3.168,1.407,3.168,1.407,0.011,0.97,0.012,0.976,0.006,0.954,0.011,0.97,0.012,0.976,0.006,0.954,-3.0,3.0,-3.0,3.0,-3.0,3.0,0.0,1.0,0.0,1.0,0.0,1.0,2.32,2.44,2.32,2.44,2.32,2.44,0.0,-0.219,0.0,-0.219,0.0,-0.219,4.64,5.1,4.64,5.1,4.64,5.1,0.746,0.242,0.746,0.242,0.746,0.242,4.8,0.2,4.8,0.2,4.8,0.2,1.269,1.107,1.269,1.107,1.269,1.107
9,8,0.853,0.106,0.005,-5.099,5.099,-5.099,5.099,-5.099,5.099,2.956,1.725,2.956,1.725,2.956,1.725,0.005,0.982,0.018,0.982,0.0,1.0,0.005,0.982,0.018,0.982,0.0,1.0,-3.0,3.0,-3.0,3.0,-3.0,3.0,0.0,1.0,0.0,1.0,0.0,1.0,2.32,2.44,2.32,2.44,2.32,2.44,0.0,-0.219,0.0,-0.219,0.0,-0.219,4.64,5.1,4.64,5.1,4.64,5.1,0.692,0.312,0.692,0.312,0.692,0.312,4.8,0.2,4.8,0.2,4.8,0.2,1.269,1.107,1.269,1.107,1.269,1.107
